date,A,B,C,D,E
2022-08-28,300.922,63.0,79.0,42.0,187.0
2022-08-29,373.88,135.0,178.0,39.0,414.0
2022-08-30,332.346,146.0,174.0,44.0,398.0
2022-08-31,395.705,149.0,188.0,56.0,420.0
2022-09-01,505.785,140.0,181.0,60.0,431.0
2022-09-02,440.72,113.0,173.0,56.0,447.0
2022-09-03,330.895,83.0,122.0,48.0,260.0
2022-09-04,340.426,77.0,92.0,34.0,248.0
2022-09-05,389.24,155.0,189.0,70.0,440.0
2022-09-06,490.38800000000015,156.0,196.0,72.0,475.0
2022-09-07,348.517,161.0,249.0,64.0,452.0
2022-09-08,379.58900000000006,138.0,224.0,67.0,477.0
2022-09-09,511.229,141.0,198.0,79.0,479.0
2022-09-10,460.848,89.0,137.0,55.0,243.0
2022-09-11,435.136,60.0,95.0,40.0,257.0
2022-09-12,466.2540000000001,147.0,209.0,73.0,492.0
2022-09-13,423.08900000000006,134.0,196.0,60.0,437.0
2022-09-14,390.709,139.0,193.0,62.0,422.0
2022-09-15,583.538,155.0,186.0,51.0,452.0
2022-09-16,587.245,141.0,173.0,53.0,439.0
2022-09-17,436.6570000000001,80.0,119.0,34.0,241.0
2022-09-18,402.61,71.0,109.0,30.0,241.0
2022-09-19,459.491,133.0,140.0,51.0,478.0
2022-09-20,523.187,140.0,205.0,52.0,462.0
2022-09-21,502.35800000000006,130.0,176.0,49.0,435.0
2022-09-22,544.5550000000001,141.0,215.0,50.0,432.0
2022-09-23,522.346,137.0,208.0,57.0,483.0
2022-09-24,478.166,59.0,96.0,47.0,290.0
2022-09-25,445.651,73.0,79.0,31.0,213.0
2022-09-26,454.412,110.0,179.0,56.0,478.0
2022-09-27,472.5440000000001,128.0,197.0,51.0,437.0
2022-09-28,368.597,139.0,180.0,49.0,460.0
2022-09-29,529.821,130.0,164.0,65.0,465.0
2022-09-30,569.458,124.0,201.0,46.0,432.0
2022-10-01,374.08900000000006,53.0,107.0,53.0,251.0
2022-10-02,140.661,57.0,95.0,45.0,215.0
2022-10-03,486.135,124.0,180.0,57.0,474.0
2022-10-04,523.38,127.0,174.0,39.0,472.0
2022-10-05,536.241,139.0,176.0,50.0,498.0
2022-10-06,562.7130000000001,121.0,194.0,65.0,459.0
2022-10-07,584.861,114.0,198.0,54.0,463.0
2022-10-08,540.812,65.0,113.0,56.0,254.0
2022-10-09,471.607,65.0,98.0,42.0,232.0
2022-10-10,444.207,152.0,199.0,50.0,493.0
2022-10-11,429.128,127.0,208.0,64.0,439.0
2022-10-12,461.44700000000006,136.0,207.0,50.0,467.0
2022-10-13,515.146,118.0,184.0,64.0,431.0
2022-10-14,640.143,144.0,193.0,76.0,449.0
2022-10-15,419.391,66.0,117.0,38.0,258.0
2022-10-16,393.732,33.0,70.0,37.0,164.0
2022-10-17,503.6630000000001,125.0,181.0,60.0,440.0
2022-10-18,582.437,127.0,196.0,58.0,413.0
2022-10-19,546.582,131.0,203.0,67.0,469.0
2022-10-20,644.873,117.0,175.0,67.0,489.0
2022-10-21,642.832,123.0,174.0,75.0,443.0
2022-10-22,509.63,37.0,97.0,43.0,163.0
2022-10-23,409.763,51.0,74.0,48.0,234.0
2022-10-24,523.7180000000001,109.0,223.0,74.0,454.0
2022-10-25,519.565,135.0,187.0,70.0,419.0
2022-10-26,520.043,149.0,216.0,52.0,461.0
2022-10-27,506.686,116.0,168.0,51.0,411.0
2022-10-28,651.0030000000002,138.0,187.0,53.0,451.0
2022-10-29,622.369,57.0,110.0,38.0,215.0
2022-10-30,596.5790000000001,77.0,96.0,54.0,209.0
2022-10-31,466.9670000000001,139.0,178.0,53.0,475.0
2022-11-01,461.2080000000001,146.0,192.0,61.0,451.0
2022-11-02,503.015,141.0,202.0,67.0,459.0
2022-11-03,580.4960000000001,118.0,143.0,53.0,396.0
2022-11-04,531.7040000000001,74.0,96.0,48.0,315.0
2022-11-05,446.377,70.0,77.0,59.0,226.0
2022-11-06,561.6089999999999,62.0,108.0,50.0,240.0
2022-11-07,376.244,124.0,199.0,57.0,498.0
2022-11-08,436.171,116.0,202.0,67.0,465.0
2022-11-09,338.945,120.0,187.0,58.0,435.0
2022-11-10,516.2139999999999,137.0,190.0,60.0,456.0
2022-11-11,542.67,139.0,181.0,67.0,431.0
2022-11-12,558.255,90.0,127.0,33.0,226.0
2022-11-13,399.931,70.0,97.0,43.0,204.0
2022-11-14,431.7820000000001,126.0,185.0,80.0,434.0
2022-11-15,510.722,139.0,199.0,57.0,444.0
2022-11-16,461.796,139.0,187.0,65.0,450.0
2022-11-17,424.8250000000001,128.0,210.0,88.0,442.0
2022-11-18,523.1659999999999,131.0,210.0,69.0,473.0
2022-11-19,456.39,85.0,90.0,63.0,235.0
2022-11-20,399.635,63.0,116.0,40.0,266.0
2022-11-21,370.413,120.0,173.0,65.0,472.0
2022-11-22,376.516,130.0,186.0,61.0,423.0
2022-11-23,379.557,141.0,189.0,68.0,427.0
2022-11-24,457.829,155.0,193.0,78.0,458.0
2022-11-25,574.541,140.0,191.0,74.0,473.0
2022-11-26,453.787,86.0,98.0,48.0,241.0
2022-11-27,420.156,77.0,107.0,47.0,236.0
2022-11-28,408.399,145.0,174.0,62.0,499.0
2022-11-29,437.726,138.0,196.0,77.0,490.0
2022-11-30,431.287,144.0,185.0,52.0,453.0
2022-12-01,446.8030000000001,138.0,175.0,62.0,444.0
2022-12-02,492.997,134.0,213.0,69.0,508.0
2022-12-03,431.704,88.0,94.0,49.0,225.0
2022-12-04,348.348,74.0,89.0,35.0,214.0
2022-12-05,380.495,140.0,215.0,61.0,434.0
2022-12-06,508.521,137.0,210.0,68.0,401.0
2022-12-07,394.2360000000001,120.0,185.0,70.0,439.0
2022-12-08,436.784,150.0,176.0,62.0,403.0
2022-12-09,504.8,130.0,186.0,60.0,429.0
2022-12-10,505.767,75.0,76.0,38.0,239.0
